mean_absolute_error,mean_square_error,root_mean_square_error,indexes_of_errors,percent_correct
0.125,0.25,0.5,"[16, 17]",93.75
0.0,0.0,0.0,[],100.0
0.1875,0.3125,0.5590169943749475,"[8, 9, 10, 11]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.09375,0.15625,0.39528470752104744,"[7, 9]",93.75
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.375,1.25,1.118033988749895,"[8, 9, 16, 17]",87.5
0.125,0.1875,0.4330127018922193,"[12, 18, 19]",90.625
0.1875,0.3125,0.5590169943749475,"[4, 5, 6, 7]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.375,0.75,0.8660254037844386,"[10, 11, 12, 13, 14, 15]",81.25
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.5625,1.5625,1.25,"[4, 5, 6, 7, 8, 9, 12, 13]",75.0
0.125,0.25,0.5,"[14, 15]",93.75
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.6875,1.5625,1.25,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",68.75
2.40625,19.84375,4.454632420301365,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",62.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.03125,0.03125,0.1767766952966369,[9],96.875
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.1875,0.375,0.6123724356957945,"[5, 12, 13]",90.625
0.0,0.0,0.0,[],100.0
0.375,0.75,0.8660254037844386,"[6, 7, 10, 11, 12, 13]",81.25
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.1875,0.3125,0.5590169943749475,"[10, 11, 14, 15]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0625,0.125,0.3535533905932738,[8],96.875
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0625,0.0625,0.25,"[16, 17]",93.75
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.1875,0.3125,0.5590169943749475,"[12, 13, 18, 19]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.3125,0.5625,0.75,"[8, 9, 10, 11, 14, 15]",81.25
0.0,0.0,0.0,[],100.0
0.0625,0.0625,0.25,"[12, 13]",93.75
3.0625,17.125,4.138236339311712,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27]",31.25
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.375,0.75,0.8660254037844386,"[10, 11, 12, 13, 14, 15]",81.25
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0625,0.0625,0.25,"[10, 11]",93.75
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.1875,0.3125,0.5590169943749475,"[8, 9, 10, 11]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.125,0.25,0.5,"[12, 13]",93.75
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0625,0.0625,0.25,"[8, 9]",93.75
0.125,0.25,0.5,"[4, 5]",93.75
2.0625,12.625,3.553167600887974,"[6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",53.125
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.25,0.5,0.7071067811865476,"[8, 9, 16, 17]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
1.5625,5.5,2.345207879911715,"[2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.625
0.0,0.0,0.0,[],100.0
0.0625,0.125,0.3535533905932738,[8],96.875
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
